id,cardnumber,full_name,email,gender,month,value
1,589311463987148778,Zacharias Surgood,zsurgood0@barnesandnoble.com,Male,1/18/2020,$47.82
2,3584376945322164,Tomi Camin,tcamin1@lycos.com,Female,6/26/2019,$77.44
3,5048374801215049,Kally Ewen,kewen2@sbwire.com,Female,3/7/2020,$34.52
4,5478994199710951,Cirilo Fuggles,cfuggles3@vistaprint.com,Male,8/10/2019,$38.08
5,374288206854167,Ali Jacop,ajacop4@sphinn.com,Male,6/18/2019,$61.84
6,5010127133981074,Vivia Cranmer,vcranmer5@w3.org,Female,11/14/2019,$48.60
7,3562398444056693,Filberte Radden,fradden6@virginia.edu,Male,5/23/2019,$46.10
8,4041592725915,Teriann Tebbit,ttebbit7@a8.net,Female,7/11/2019,$58.22
9,374283195234596,Elvina McEvon,emcevon8@uiuc.edu,Female,4/23/2020,$28.67
10,5100141029755436,Holly Czajkowski,hczajkowski9@timesonline.co.uk,Female,8/21/2019,$33.11
11,3587161418152968,Godfry Cole,gcolea@themeforest.net,Male,9/25/2019,$41.01
12,3556492404892219,Odelle Johncey,ojohnceyb@cornell.edu,Female,8/31/2019,$6.66
13,5252837428467871,Itch Wimlett,iwimlettc@youku.com,Male,2/9/2020,$20.19
14,349063232083111,Masha Nickels,mnickelsd@google.ca,Female,4/14/2020,$20.16
15,201990696200525,Vidovic Bastow,vbastowe@home.pl,Male,8/12/2019,$79.80
16,6767235782235149,Chance Huguet,chuguetf@spiegel.de,Male,8/13/2019,$41.46
17,5602226765546512,Sherline Wheelhouse,swheelhouseg@timesonline.co.uk,Female,5/22/2019,$79.48
18,3579470854403748,Mattie Skyram,mskyramh@cocolog-nifty.com,Male,6/27/2019,$71.51
19,4026362226678536,Stanwood Surgison,ssurgisoni@mapquest.com,Male,8/15/2019,$90.09
20,201885407625665,Antony Beernt,abeerntj@geocities.com,Male,8/26/2019,$96.07
21,374626960197820,Dunn Foakes,dfoakesk@feedburner.com,Male,6/11/2019,$84.71
